model,removed_regressors
lasso,3 16 27 37 49 51 52 53 56 60 61 81 83 84 101 105 128 130 157 163 168 173 175 186 191 205 217 231 237 243 257 263 265 270 275 276 281 285 293 298 309 327 336 338 340 342 343 363 370 372 394 395 399 407 410 422 426 430 443 447 462 464 465 491
lm,2 3 6 8 9 11 25 29 37 44 48 49 51 52 53 55 56 57 60 61 63 64 71 73 75 77 78 79 81 89 95 101 103 105 106 115 120 124 128 130 131 140 142 145 148 154 157 168 169 173 175 177 190 195 198 200 203 205 216 222 231 235 237 244 246 251 256 257 265 266 270 281 284 285 288 292 293 298 301 304 305 306 309 312 327 330 336 338 340 343 345 351 359 361 363 364 370 372 373 378 385 394 395 399 405 407 410 416 422 429 430 431 434 442 443 447 449 451 453 454 463 464 470 478 483 485 489 491
